session_id,day,total_pnl,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,total_slope_per_step,total_r2,ASH_COATED_OSMIUM_slope_per_step,ASH_COATED_OSMIUM_r2,INTARIAN_PEPPER_ROOT_slope_per_step,INTARIAN_PEPPER_ROOT_r2
50,-2,101450.765625,22078.734375,79372.03125,10.24891125736325,0.9998584882136978,2.2436525362189097,0.9969816664164423,8.005258721144338,0.9999997509491635
51,-1,99735.5078125,20212.4765625,79523.03125,10.047129768554555,0.9999096903846295,2.0450801377440944,0.9978123892697947,8.002049630810461,0.9999998075525153
52,-2,100341.4052734375,20912.3740234375,79429.03125,10.036483470956917,0.999914988454229,2.0338568802708434,0.9979861866317006,8.002626590686074,0.9999997012109592
53,-1,99404.474609375,19832.443359375,79572.03125,9.97029269079196,0.99990561333699,1.957591178785867,0.997696806037651,8.012701512006092,0.999999417600239
54,-2,98294.07421875,18839.04296875,79455.03125,9.88391725567014,0.9999127816523387,1.8776654942682485,0.9976558509627145,8.006251761401895,0.9999997015690907
55,-1,99513.234375,20130.203125,79383.03125,9.97168541733016,0.999917893083141,1.9648544991892014,0.9978605870554207,8.00683091814096,0.9999997991213372
56,-2,97115.4296875,17650.3984375,79465.03125,9.76648396209394,0.9999092825118518,1.7619786267450657,0.9972037628169653,8.004505335348878,0.999999698534523
57,-1,98483.548828125,19148.517578125,79335.03125,9.889766965850837,0.9999222074182263,1.8879379381076653,0.9978646425227815,8.001829027743174,0.9999997508877402
58,-2,99842.349609375,20389.318359375,79453.03125,10.011664870592934,0.9998411704516939,2.0100891123786164,0.9961514329995927,8.001575758214315,0.9999998107476383
59,-1,100038.3046875,20635.2734375,79403.03125,10.090129828438238,0.9998880615554115,2.0860113722316505,0.9974017031585762,8.004118456206584,0.9999998111244003
60,-2,99028.07421875,19574.04296875,79454.03125,9.924745368845937,0.999948971660449,1.918675628844561,0.998635431181817,8.00606974000137,0.9999997652490652
61,-1,100931.5185546875,21636.4873046875,79295.03125,10.084803792325156,0.99995640468126,2.0829244871082815,0.9989943401490942,8.001879305216875,0.999999778799466
62,-2,98178.6005859375,18734.5693359375,79444.03125,9.87519131471747,0.9998832959696391,1.8718432808460972,0.9967192343174237,8.003348033871372,0.9999997479361489
63,-1,98228.7890625,18831.7578125,79397.03125,9.881535879536525,0.9999145855598052,1.8793444467581228,0.9976909989169145,8.002191432778403,0.9999997918679623
64,-2,98267.40625,18915.375,79352.03125,9.83526411338441,0.999852089814014,1.8297112951668997,0.9958184076862486,8.005552818217511,0.9999997290245181
65,-1,101550.60546875,22192.57421875,79358.03125,10.165253682375901,0.9998662540510812,2.155227344522993,0.9969732587263841,8.010026337852912,0.9999996211793359
66,-2,97787.84375,18371.8125,79416.03125,9.881759886377845,0.9999177769594989,1.8794992357999603,0.9977234231411595,8.002260650577885,0.999999791708431
67,-1,98325.2783203125,18865.2470703125,79460.03125,9.890782516081813,0.9999266947835559,1.88709928482643,0.9979832235971726,8.003683231255387,0.9999997688231652
68,-2,99022.1474609375,19537.1162109375,79485.03125,9.9580577133284,0.9998264275780435,1.954314015008213,0.9955871202804492,8.00374369832019,0.9999997983151584
69,-1,99751.0400390625,20294.0087890625,79457.03125,10.043377779020624,0.999895779454983,2.0376643350599175,0.9975334180467884,8.00571344396071,0.9999994123350769
