trial,THR_OPEN,THR_CLOSE,IV_SCALPING_THR,SCALP_MAX_PER_TICK,THEO_NORM_WINDOW,IV_SCALPING_WINDOW,LOW_VEGA_THR_ADJ,LOW_VEGA_CUTOFF,SMILE_A_ALPHA,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
57,0.6914,0.4847,0.5644,57,61,261,0.8353,4.5137,0.0317,14817,662,12642,15479,12642,28122,9.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,475,222,1731,29,31,1817,67,-89,1393,0,10,907,114,76,368,21,11,147,0,0,0,0,0,0
58,1.1806,0.3122,0.5532,149,195,263,0.8129,0.5724,0.0346,14984,940,11867,15924,11867,27792,9.47,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,215,235,1667,357,92,1531,206,93,1285,136,106,655,7,50,300,-48,-37,150,0,0,0,0,0,0
59,1.2576,0.2112,1.4517,78,71,57,0.0419,3.367,0.048,15414,-1782,7885,13632,7885,21518,9.47,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,353,-609,-4,350,-704,361,350,-442,627,204,-212,384,46,-122,192,0,-94,46,0,0,0,0,0,0
60,0.7519,-0.0486,0.4559,24,210,186,0.6807,2.7018,0.0012,13118,530,13687,13648,13687,27336,9.82,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-1028,-324,702,274,155,2681,-260,244,2097,-57,151,1269,29,-95,507,49,-2,152,0,0,0,0,0,0
61,1.2572,0.2483,0.9533,43,218,184,0.0661,3.8155,0.0134,14128,2160,12414,16288,12414,28702,9.6,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-179,736,1856,25,447,1724,80,264,1267,115,228,850,0,76,329,-24,8,109,0,0,0,0,0,0
62,0.3893,-0.2344,1.2023,72,109,239,0.6499,2.5715,0.0424,16006,820,11720,16826,11720,28546,9.62,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,358,-185,1070,639,287,1567,493,147,1370,287,153,917,118,64,416,0,-47,101,0,0,0,0,0,0
63,0.3921,0.4105,0.7161,31,207,211,0.6428,0.8486,0.0082,14838,1366,11400,16204,11400,27604,9.46,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-63,416,1333,401,570,1442,178,-92,1140,176,-11,858,56,108,300,-21,-26,48,0,0,0,0,0,0
64,0.6047,0.2432,0.7349,54,53,173,0.0607,1.7095,0.0339,15066,-654,10068,14412,10068,24480,9.62,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,398,-285,1030,254,-230,1165,147,-266,794,103,-188,473,53,-50,227,0,-37,100,0,0,0,0,0,0
65,1.1306,0.1757,0.7199,93,168,169,0.4663,1.0333,0.0448,13864,2,12891,13866,12891,26758,9.49,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,-58,-54,1948,-41,-244,1786,6,-15,1440,-51,-39,945,-49,0,343,-54,-47,150,0,0,0,0,0,0
66,0.5391,0.4781,1.4299,24,124,167,0.0765,2.7798,0.0497,15723,-788,9922,14935,9922,24856,9.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,429,-175,839,443,-465,903,385,-317,975,245,-114,659,94,-74,218,16,-45,49,0,0,0,0,0,0
