session_id,total_pnl,ASH_COATED_OSMIUM_pnl,INTARIAN_PEPPER_ROOT_pnl,ASH_COATED_OSMIUM_position,INTARIAN_PEPPER_ROOT_position,ASH_COATED_OSMIUM_cash,INTARIAN_PEPPER_ROOT_cash,total_slope_per_step,total_r2,ASH_COATED_OSMIUM_slope_per_step,ASH_COATED_OSMIUM_r2,INTARIAN_PEPPER_ROOT_slope_per_step,INTARIAN_PEPPER_ROOT_r2
22,98677.1240234375,19225.0927734375,79452.03125,21,80,-190647,-1040540,9.951276960039927,0.9999563649086984,1.9422084686721115,0.9988354284780347,8.009068491367811,0.9999996639668275
23,100023.25,20707.21875,79316.03125,48,80,-459414,-1120676,10.08877837089024,0.9999292609955793,2.08665153696659,0.9983575967567503,8.002126833923647,0.9999998114756187
24,98434.4453125,18982.4140625,79452.03125,56,80,-541086,-1040540,9.94792924823478,0.9999563642243353,1.9444511264180562,0.9988364031253404,8.003478121816721,0.9999997484881202
25,98264.365234375,18892.333984375,79372.03125,6,80,-41108,-1120620,9.93023978307378,0.9999121752423684,1.9292963778925305,0.9976788098229409,8.000943405181248,0.9999998295665062
26,100085.5107421875,20668.4794921875,79417.03125,67,80,-649218,-1040575,10.026808948133151,0.9999049198019277,2.0253319159422443,0.9976778896508868,8.00147703219091,0.9999997781345995
27,99046.1259765625,19654.0947265625,79392.03125,47,80,-450257,-1120600,10.000180299190719,0.9999311247238529,1.9968696155203418,0.9983018884124392,8.003310683670378,0.9999997781958647
28,99355.248046875,20028.216796875,79327.03125,51,80,-490248,-1040665,9.987676034731663,0.999960979946851,1.984153388808255,0.9990349984652221,8.00352264592341,0.9999998563757995
29,98483.2255859375,19036.1943359375,79447.03125,29,80,-271016,-1120545,9.911892656596264,0.9997910831554545,1.9016242947769741,0.9943636081564924,8.01026836181929,0.9999994992329937
30,100354.146484375,20887.115234375,79467.03125,77,80,-749061,-1040525,10.102699687261367,0.9999160993674424,2.0883588381597327,0.9981356666158044,8.014340849101629,0.9999985341657205
31,99587.384765625,19962.353515625,79625.03125,-5,80,69940,-1120367,10.029286536699399,0.9998852962514312,2.024156737942411,0.9971572742192238,8.005129798756986,0.9999999183041703
32,99038.431640625,19505.400390625,79533.03125,15,80,-130550,-1040459,9.875892412294041,0.9999203615451676,1.862439463168836,0.9977726044734269,8.013452949125206,0.9999994176836491
33,100262.6640625,20762.6328125,79500.03125,-8,80,100746,-1120492,10.078325333482066,0.999864431833745,2.072466545506832,0.9968186479327233,8.005858787975233,0.9999997699746502
34,100069.626953125,20593.595703125,79476.03125,10,80,-79452,-1040516,10.122509714090976,0.9999344355100381,2.110281094251073,0.998410210521163,8.012228619839904,0.9999988987874658
35,99020.388671875,19683.357421875,79337.03125,58,80,-560286,-1120655,9.94681950007076,0.9998351930163959,1.9449280728401244,0.9957089507279275,8.001891427230639,0.9999997647615484
36,98165.2900390625,18685.2587890625,79480.03125,21,80,-191242,-1040512,9.888557897465507,0.9999166459547247,1.8793101113163344,0.997749068901192,8.009247786149174,0.99999961559682
37,100259.5546875,20954.5234375,79305.03125,72,80,-699260,-1120687,10.105327058771326,0.9999433351675763,2.103893864669528,0.9986968845996771,8.001433194101796,0.9999996832308319
38,99162.7333984375,19698.7021484375,79464.03125,67,80,-650310,-1040528,9.988020235078817,0.999785087262932,1.9793645340518873,0.9943224686233683,8.008655701026928,0.9999995633430556
39,98646.90625,19267.875,79379.03125,34,80,-320543,-1120613,9.971678699772685,0.9999587070863547,1.9672981503919695,0.998978219656804,8.004380549380713,0.9999996880338611
40,98874.37890625,19435.34765625,79439.03125,50,80,-480421,-1040553,9.994821579170827,0.9998867060677672,1.9900193288763317,0.9970922278857344,8.004802250294498,0.9999997632507373
41,98051.404296875,18713.373046875,79338.03125,-15,80,168741,-1120654,9.858409351151831,0.9998113476232152,1.8543940091999729,0.994689868694191,8.004015341951861,0.9999995726608082
42,98191.0703125,18664.0390625,79527.03125,45,80,-431356,-1040465,9.945315496224788,0.9999619532264233,1.9369970864572001,0.9990102839413615,8.008318409767591,0.9999997478694183
43,99242.03125,19812,79430.03125,0,80,19812,-1120562,9.892565248574414,0.9999073021812819,1.886976000983778,0.9974639253897674,8.005589247590635,0.9999997267775219
44,98883.5712890625,19433.5400390625,79450.03125,63,80,-610497,-1040542,9.985121971831907,0.9999507562171357,1.9777206496690434,0.9987677156957295,8.007401322162865,0.9999996743949826
45,98829.6044921875,19435.5732421875,79394.03125,47,80,-450525,-1120598,9.935813869903994,0.9999407606341263,1.929824345891625,0.9983856655926089,8.005989524012366,0.9999996280947667
46,100118.49609375,20660.46484375,79458.03125,62,80,-599143,-1040534,10.081590536502905,0.9999432869281722,2.071325058205433,0.998664090439653,8.010265478297473,0.9999993793588974
47,100049.265625,20515.234375,79534.03125,68,80,-659629,-1120458,10.112834647292676,0.9998269883745741,2.0942806697950833,0.9960673199451203,8.018553977497593,0.9999986144933836
48,99583.03125,20228,79355.03125,0,80,20228,-1040637,10.053721957237139,0.9999564959671922,2.050639084445369,0.998973811281445,8.003082872791769,0.9999998826088417
49,98111.541015625,18783.509765625,79328.03125,-3,80,48765,-1120664,9.849924291445433,0.9999609545002766,1.8475922395662192,0.9989041419655336,8.002332051879211,0.999999708587498
50,101367.765625,21995.734375,79372.03125,54,80,-518003,-1040620,10.238651544330652,0.9998513508729686,2.2333928231863127,0.9968034029737339,8.005258721144338,0.9999997509491635
51,99644.5078125,20121.4765625,79523.03125,-10,80,120098,-1120469,10.032433621775594,0.9999088914013184,2.0303839909651327,0.9977679284171398,8.002049630810461,0.9999998075525153
52,100227.4052734375,20798.3740234375,79429.03125,47,80,-449292,-1040563,10.020464690572728,0.9999118006546599,2.0178380998866556,0.9978827457096686,8.002626590686074,0.9999997012109592
53,99317.474609375,19745.443359375,79572.03125,-3,80,49743,-1120420,9.958773430140766,0.9998960023408168,1.9460719181346744,0.9974361060340836,8.012701512006092,0.999999417600239
54,98129.07421875,18674.04296875,79455.03125,65,80,-631475,-1040537,9.861556141466528,0.9999182588965649,1.8553043800646374,0.9977584272127644,8.006251761401895,0.9999997015690907
55,99354.234375,19971.203125,79383.03125,52,80,-500237,-1120609,9.950299753322305,0.9999023990629918,1.9434688351813447,0.9974095660939005,8.00683091814096,0.9999997991213372
56,97033.4296875,17568.3984375,79465.03125,28,80,-262522,-1040527,9.753293709142037,0.9999034090965796,1.748788373793163,0.996991326787097,8.004505335348878,0.999999698534523
57,98282.548828125,18947.517578125,79335.03125,1,80,8952,-1120657,9.860609743031265,0.9999210340775145,1.858780715288093,0.9977773302403635,8.001829027743174,0.9999997508877402
58,99835.349609375,20382.318359375,79453.03125,26,80,-239588,-1040539,10.010078806073073,0.9998462095052983,2.0085030478587558,0.9962693309741928,8.001575758214315,0.9999998107476383
59,99751.3046875,20348.2734375,79403.03125,23,80,-209575,-1120589,10.049755914200498,0.9998824600242197,2.0456374579939114,0.9971871708489497,8.004118456206584,0.9999998111244003
60,98763.07421875,19309.04296875,79454.03125,44,80,-420713,-1040538,9.889171764699539,0.9999550914589148,1.8831020246981627,0.9987603603234401,8.00606974000137,0.9999997652490652
61,100941.5185546875,21646.4873046875,79295.03125,-49,80,511605,-1120697,10.085117777368296,0.9999563395510854,2.0832384721514217,0.9989931303196279,8.001879305216875,0.999999778799466
62,98208.6005859375,18764.5693359375,79444.03125,71,80,-691271,-1040548,9.879139164215827,0.9998954346802662,1.875791130344456,0.9970692578378166,8.003348033871372,0.9999997479361489
63,98125.7890625,18728.7578125,79397.03125,-20,80,218802,-1120595,9.867330829498474,0.9999151915379682,1.8651393967200725,0.9976803281734231,8.002191432778403,0.9999997918679623
64,98124.40625,18772.375,79352.03125,56,80,-541246,-1040640,9.815061559411516,0.9998628219773825,1.8095087411940018,0.9960500842650909,8.005552818217511,0.9999997290245181
65,101417.60546875,22059.57421875,79358.03125,4,80,-17943,-1120634,10.145643860987803,0.9998613372147577,2.1356175231348944,0.9968220546263502,8.010026337852912,0.9999996211793359
66,97682.84375,18266.8125,79416.03125,80,80,-781416,-1040576,9.866130802925554,0.9999089842442214,1.8638701523476695,0.9974478259807439,8.002260650577885,0.999999791708431
67,98302.2783203125,18842.2470703125,79460.03125,59,80,-570924,-1120532,9.88594515113544,0.9999249282785002,1.8822619198800563,0.9979253804977524,8.003683231255387,0.9999997688231652
68,98907.1474609375,19422.1162109375,79485.03125,-19,80,209429,-1040507,9.942480317758626,0.9998180271899724,1.938736619438439,0.9953140323395919,8.00374369832019,0.9999997983151584
69,99525.0400390625,20068.0087890625,79457.03125,31,80,-289985,-1120535,10.012950130294348,0.9998938149847705,2.007236686333641,0.9974403650619355,8.00571344396071,0.9999994123350769
