trial,VEV_BASE_SIZE,MR_MM_LEVEL_SIZE,HY_MM_BASE_SIZE,BASE_MM_SIZE,MR_K,MR_MAX_FRAC,VEV_SOFT_POS_FRAC,HY_SOFT_POS_FRAC,VEV_SIZES_MILD_BIG,VEV_SIZES_MILD_SMALL,VEV_SIZES_STRONG_BIG,VEV_SIZES_STRONG_SMALL,VEV_SIZES_EXTREME_BIG,VEV_SIZES_EXTREME_SMALL,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
42,15,24,95,65,0.0206,0.6217,0.5205,0.3566,28,9,31,2,27,6,,,,,,,8.87,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,4,10,54,60,0.0813,0.3909,0.6278,0.357,30,3,49,1,70,8,16530,3350,13134,19880,13134,33015,23.08,1,11233,-866,1340,1520,-766,3182,3246,2437,2558,-34,0,21,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
44,14,34,72,74,0.0665,0.6371,0.4255,0.3312,31,8,36,10,49,1,8930,3430,7857,12360,7857,20216,28.44,1,4077,-778,11,1406,-774,-808,2916,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
45,5,26,53,57,0.0868,0.3654,0.7287,0.4191,22,18,32,10,54,5,9888,2824,7822,12712,7822,20534,23.71,1,4608,-1384,-24,1504,-774,-808,3246,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
46,14,21,51,69,0.0928,0.6743,0.609,0.4086,13,13,26,6,27,1,8815,3300,7582,12115,7582,19696,22.56,1,3865,-786,-132,1504,-896,-940,2916,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
47,10,14,40,61,0.0669,0.5001,0.8139,0.3305,36,14,28,8,63,8,9148,3452,11516,12600,11516,24116,23.89,1,4081,-753,-119,1520,-776,2981,3016,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
48,11,16,86,75,0.0968,0.5432,0.7607,0.4465,37,10,53,4,74,9,9080,3253,7678,12333,7678,20011,24.88,1,4089,-753,-119,1508,-976,-815,2952,2437,2564,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
49,3,34,104,46,0.0578,0.5364,0.6394,0.42,16,13,34,5,29,8,14465,2886,8750,17351,8750,26100,31.33,1,9195,-1322,904,1406,-774,-808,3334,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
50,9,36,79,16,0.0618,0.3646,0.8459,0.4176,18,4,48,5,32,10,9742,3462,7697,13204,7697,20901,22.33,1,4777,-745,-119,1406,-774,-808,3028,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
51,12,24,95,61,0.0762,0.5778,0.4146,0.3088,14,16,20,7,66,6,9056,3454,7727,12510,7727,20238,22.28,1,4081,-753,-119,1504,-774,-808,2941,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
52,20,22,107,48,0.0418,0.5025,0.6561,0.4866,13,3,34,6,25,10,8228,3278,7221,11506,7221,18726,23.89,1,3492,-861,-493,1467,-844,-940,2738,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
53,8,16,116,72,0.0229,0.6369,0.7637,0.5151,31,14,20,4,44,9,9782,3323,7891,13105,7891,20996,21.99,1,4642,-761,62,1506,-898,-825,3102,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
54,9,21,95,16,0.0496,0.3382,0.7461,0.5598,33,11,53,9,59,7,8999,3363,7553,12362,7553,19915,22.18,1,4013,-746,-119,1504,-873,-940,2952,2437,2564,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
55,18,21,108,34,0.044,0.5278,0.8132,0.4599,31,12,25,3,30,1,8402,3446,7582,11848,7582,19430,22.11,1,3627,-693,-132,1467,-844,-940,2778,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
56,7,20,59,62,0.0617,0.4142,0.8289,0.3236,25,17,55,3,31,6,9359,3350,7793,12709,7793,20502,25.52,1,4286,-761,50,1504,-871,-857,3039,2437,2552,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
57,16,33,118,15,0.0614,0.4825,0.6758,0.581,15,3,35,6,64,4,8606,3378,7959,11984,7959,19944,72.13,1,3841,-829,113,1406,-774,-808,2829,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
58,6,20,79,30,0.0865,0.6359,0.6991,0.3708,16,14,52,3,57,5,9578,3272,7805,12850,7805,20655,41.65,1,4286,-761,50,1504,-948,-857,3258,2437,2564,-34,0,15,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
59,3,13,110,76,0.0921,0.5517,0.583,0.4471,22,9,50,4,40,5,14504,2810,12727,17314,12727,30041,23.53,1,9119,-1322,904,1520,-850,3199,3334,2437,2564,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
60,9,32,68,36,0.0355,0.4606,0.6442,0.3779,36,3,30,6,58,6,9788,3412,7692,13200,7692,20892,23.56,1,4774,-796,-154,1406,-774,-808,3078,2437,2594,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
