trial,THR_OPEN_5000,THR_OPEN_5100,THR_OPEN_5200,THR_OPEN_5300,THR_OPEN_5400,THR_OPEN_5500,d1_total,d2_total,d3_total,train,holdout,total,elapsed,ok,d1_HYDROGEL_PACK,d2_HYDROGEL_PACK,d3_HYDROGEL_PACK,d1_VELVETFRUIT_EXTRACT,d2_VELVETFRUIT_EXTRACT,d3_VELVETFRUIT_EXTRACT,d1_VEV_4000,d2_VEV_4000,d3_VEV_4000,d1_VEV_4500,d2_VEV_4500,d3_VEV_4500,d1_VEV_5000,d2_VEV_5000,d3_VEV_5000,d1_VEV_5100,d2_VEV_5100,d3_VEV_5100,d1_VEV_5200,d2_VEV_5200,d3_VEV_5200,d1_VEV_5300,d2_VEV_5300,d3_VEV_5300,d1_VEV_5400,d2_VEV_5400,d3_VEV_5400,d1_VEV_5500,d2_VEV_5500,d3_VEV_5500,d1_VEV_6000,d2_VEV_6000,d3_VEV_6000,d1_VEV_6500,d2_VEV_6500,d3_VEV_6500
32,1.4913,1.3437,1.1467,0.705,1.1555,0.9552,14598,2876,11816,17474,11816,29290,21.96,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,442,1456,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
33,0.7727,1.2899,0.3089,1.1753,0.2387,0.9817,14675,2982,12282,17657,12282,29940,21.95,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,1922,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
34,0.8252,0.4993,1.1078,0.8464,0.9989,1.3966,14675,2964,12365,17639,12365,30004,22.02,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
35,0.5326,0.2147,0.5913,1.0816,0.4633,0.4205,14675,2950,12312,17625,12312,29936,20.32,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
36,1.3774,1.058,0.7745,1.3592,0.625,1.0657,14598,3022,11816,17620,11816,29436,20.71,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,570,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
37,0.4581,0.7602,1.2478,1.3885,1.3443,0.6997,14675,2932,12312,17607,12312,29918,20.48,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
38,0.958,0.6114,0.377,0.8454,1.2882,1.3033,14675,2982,12283,17657,12283,29940,20.59,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
39,1.1246,1.435,0.5598,0.4199,0.7858,0.5577,14675,3042,12283,17717,12283,30000,20.27,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
40,0.4783,0.7382,1.0135,0.842,0.61,1.2909,14675,2932,12312,17607,12312,29918,19.94,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
41,1.4766,0.7882,0.2971,0.2409,1.3347,0.2539,14598,2890,11816,17488,11816,29304,20.73,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,442,1456,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
42,1.1212,0.9418,0.6017,1.229,0.2248,0.3766,14675,3044,12283,17719,12283,30002,20.21,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
43,0.7913,0.2321,1.2786,0.5086,0.3831,0.261,14675,2962,12365,17637,12365,30002,33.07,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
44,1.0179,0.7804,1.019,1.0516,1.2496,1.446,14675,3026,12283,17701,12283,29984,35.93,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
45,1.0898,0.4591,0.8177,0.4323,0.214,0.8139,14675,3042,12283,17717,12283,30000,37.54,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
46,1.1284,0.4328,0.5541,0.6495,1.1065,0.8765,14675,3044,12283,17719,12283,30002,38.74,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
47,0.9988,1.1831,0.7116,1.2295,1.3781,0.3134,14675,3044,12283,17719,12283,30002,36.84,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
48,1.4124,1.1391,0.3689,0.7896,1.0132,1.383,14598,3006,11816,17604,11816,29420,37.64,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,554,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
49,0.6898,0.9395,1.3431,1.2358,1.4275,0.8028,14675,2932,12282,17607,12282,29888,39.35,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
50,1.0467,0.4664,1.1385,1.2638,1.0341,1.133,14675,3026,12283,17701,12283,29984,39.51,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
51,0.4773,1.37,1.4746,1.4706,0.898,1.228,14675,2932,12312,17607,12312,29918,39.94,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1952,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
52,0.6165,1.383,1.3125,0.6531,0.3076,0.7732,14675,2932,12282,17607,12282,29888,37.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,498,1922,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
53,0.9154,1.1987,0.8337,0.2369,1.2519,0.2833,14675,2980,12365,17655,12365,30020,36.13,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,449,665,27,240,340,-5,5,107,0,0,0,0,0,0
54,1.2398,0.4248,0.6355,1.2243,0.3827,0.3933,14670,3078,12264,17748,12264,30012,37.3,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,198,627,1904,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
55,0.8715,1.1406,1.292,1.0962,1.4295,0.8404,14675,2964,12365,17639,12365,30004,36.1,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
56,1.4339,0.3118,0.4878,0.8847,0.5772,1.1475,14598,3006,11816,17604,11816,29420,40.38,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,554,1456,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
57,1.0305,0.8796,1.2967,0.928,0.6052,0.6956,14675,3026,12283,17701,12283,29984,35.71,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,593,1923,161,811,1824,72,524,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
58,1.2988,1.3707,0.4707,1.306,1.459,0.8815,14598,3078,12298,17676,12298,29974,38.39,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,126,627,1938,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
59,0.9449,0.4613,0.8967,0.8541,0.9868,0.2361,14675,2982,12365,17657,12365,30022,35.83,1,9279,-1322,904,1532,-714,2759,3334,2437,2589,-34,0,27,203,531,2005,161,811,1824,72,542,1145,106,452,665,27,240,340,-5,5,107,0,0,0,0,0,0
